"DIQ300D.Code.or.Value","DIQ300D.Value.Description","DIQ300D.Count","DIQ300D.Cumulative","DIQ300D.Skip.to.Item"
"5 to 175","Range of Values",439,439,NA
"7777","Refused",3,442,NA
"9999","Don't know",290,732,NA
".","Missing",9038,9770,NA
