"LBXSCR.Code.or.Value","LBXSCR.Value.Description","LBXSCR.Count","LBXSCR.Cumulative","LBXSCR.Skip.to.Item"
"0.16 to 9.51","Range of Values",5976,5976,NA
".","Missing",573,6549,NA
