"LBDTGNSI.Code.or.Value","LBDTGNSI.Value.Description","LBDTGNSI.Count","LBDTGNSI.Cumulative","LBDTGNSI.Skip.to.Item"
"0.07 to 4461","Range of Values",6262,6262,NA
".","Missing",655,6917,NA
