"CDQ008.Code.or.Value","CDQ008.Value.Description","CDQ008.Count","CDQ008.Cumulative","CDQ008.Skip.to.Item"
"1","Yes",225,225,NA
"2","No",701,926,NA
"7","Refused",0,926,NA
"9","Don't know",1,927,NA
".","Missing",2129,3056,NA
