"AUXRR226.Code.or.Value","AUXRR226.Value.Description","AUXRR226.Count","AUXRR226.Cumulative","AUXRR226.Skip.to.Item"
"-40 to 67","Range of Values",1772,1772,NA
".","Missing",117,1889,NA
