"DR1DAY.Code.or.Value","DR1DAY.Value.Description","DR1DAY.Count","DR1DAY.Cumulative","DR1DAY.Skip.to.Item"
"1","Sunday",1033,1033,NA
"2","Monday",561,1594,NA
"3","Tuesday",699,2293,NA
"4","Wednesday",474,2767,NA
"5","Thursday",788,3555,NA
"6","Friday",1214,4769,NA
"7","Saturday",954,5723,NA
".","Missing",0,5723,NA
