"DR1TNIAC.Code.or.Value","DR1TNIAC.Value.Description","DR1TNIAC.Count","DR1TNIAC.Cumulative","DR1TNIAC.Skip.to.Item"
"0.68 to 199.653","Range of Values",9623,9623,NA
".","Missing",630,10253,NA
