"OSQ020c.Code.or.Value","OSQ020c.Value.Description","OSQ020c.Count","OSQ020c.Cumulative","OSQ020c.Skip.to.Item"
"1 to 6","Range of Values",116,116,NA
"7777","Refused",0,116,NA
"9999","Don't know",3,119,NA
".","Missing",5292,5411,NA
