"DRXMC.Code.or.Value","DRXMC.Value.Description","DRXMC.Count","DRXMC.Cumulative","DRXMC.Skip.to.Item"
"100000 to 207215","Range of Values",1605,1605,NA
".","Missing",0,1605,NA
