"PAQ540.Code.or.Value","PAQ540.Value.Description","PAQ540.Count","PAQ540.Cumulative","PAQ540.Skip.to.Item"
"1","More active now,",503,503,NA
"2","Less active now, or",2467,2970,NA
"3","About the same?",939,3909,NA
"7","Refused",1,3910,NA
"9","Don't know",2,3912,NA
".","Missing",5512,9424,NA
