"DSQISODI.Code.or.Value","DSQISODI.Value.Description","DSQISODI.Count","DSQISODI.Cumulative","DSQISODI.Skip.to.Item"
"1 to 920","Range of Values",743,743,NA
".","Missing",8374,9117,NA
