"OHD15LAM.Code.or.Value","OHD15LAM.Value.Description","OHD15LAM.Count","OHD15LAM.Cumulative","OHD15LAM.Skip.to.Item"
"0 to 12","Range of Values",1371,1371,NA
"99","Calculation cannot be determined",449,1820,NA
".","Missing",4938,6758,NA
