"WHD080T.Code.or.Value","WHD080T.Value.Description","WHD080T.Count","WHD080T.Cumulative","WHD080T.Skip.to.Item"
"46","Ate less junk food or fast food",996,996,NA
".","Missing",5468,6464,NA
