"FSD650ZC.Code.or.Value","FSD650ZC.Value.Description","FSD650ZC.Count","FSD650ZC.Cumulative","FSD650ZC.Skip.to.Item"
"1","Yes",878,878,""
"2","No",713,1591,"FSD675"
"7","Refused",0,1591,"FSD675"
"9","Don't know",4,1595,"FSD675"
".","Missing",8161,9756,""
