"DBQ235C.Code.or.Value","DBQ235C.Value.Description","DBQ235C.Count","DBQ235C.Cumulative","DBQ235C.Skip.to.Item"
"0","Never",210,210,NA
"1","Rarely-less than once a week",564,774,NA
"2","Sometimes-once a week or more, but less than once a 
    day",1315,2089,NA
"3","Often-once a day or more",2083,4172,NA
"4","Varied",72,4244,NA
"7","Refused",0,4244,NA
"9","Don't know",11,4255,NA
".","Missing",5501,9756,NA
