"BIXC469K.Code.or.Value","BIXC469K.Value.Description","BIXC469K.Count","BIXC469K.Cumulative","BIXC469K.Skip.to.Item"
"12.59 to 134.86","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
