"DBQ010.Code.or.Value","DBQ010.Value.Description","DBQ010.Count","DBQ010.Cumulative","DBQ010.Skip.to.Item"
"1","Yes",1484,1484,""
"2","No",655,2139,"DBD040"
"7","Refused",0,2139,"DBD040"
"9","Don't know",7,2146,"DBD040"
".","Missing",8202,10348,""
