"URXMEP.Code.or.Value","URXMEP.Value.Description","URXMEP.Count","URXMEP.Cumulative","URXMEP.Skip.to.Item"
"0.85 to 15021","Range of Values",2975,2975,NA
".","Missing",230,3205,NA
