"BMXTHICR.Code.or.Value","BMXTHICR.Value.Description","BMXTHICR.Count","BMXTHICR.Cumulative","BMXTHICR.Skip.to.Item"
"28 to 94.8","Range of Values",7194,7194,NA
".","Missing",2449,9643,NA
