"DR1LANG.Code.or.Value","DR1LANG.Value.Description","DR1LANG.Count","DR1LANG.Cumulative","DR1LANG.Skip.to.Item"
"1","English",5651,5651,NA
"2","Spanish",327,5978,NA
"3","English and Spanish",14,5992,NA
"4","Other",37,6029,NA
"5","Asian Languages",26,6055,NA
"6","Asian Languages and English",13,6068,NA
".","Missing",0,6068,NA
