"SSTBBAL.Code.or.Value","SSTBBAL.Value.Description","SSTBBAL.Count","SSTBBAL.Cumulative","SSTBBAL.Skip.to.Item"
"0","At or above the detection limit",110,110,NA
"1","Below lower detection limit",1944,2054,NA
".","Missing",0,2054,NA
