"SMQ840.Code.or.Value","SMQ840.Value.Description","SMQ840.Count","SMQ840.Cumulative","SMQ840.Skip.to.Item"
"1","Today",5,5,NA
"2","Yesterday",7,12,NA
"3","3 to 5 days ago",3,15,NA
"7","Refused",0,15,NA
"9","Don't know",1,16,NA
".","Missing",6974,6990,NA
