"FIALANG.Code.or.Value","FIALANG.Value.Description","FIALANG.Count","FIALANG.Cumulative","FIALANG.Skip.to.Item"
"1","English",9315,9315,NA
"2","Spanish",1154,10469,NA
".","Missing",68,10537,NA
