"FSD650.Code.or.Value","FSD650.Value.Description","FSD650.Count","FSD650.Cumulative","FSD650.Skip.to.Item"
"1","Yes",1249,1249,""
"2","No",1176,2425,"End of Section"
"7","Refused",0,2425,"End of Section"
"9","Don't know",1,2426,"End of Section"
".","Missing",7922,10348,""
