"DR1IM201.Code.or.Value","DR1IM201.Value.Description","DR1IM201.Count","DR1IM201.Cumulative","DR1IM201.Skip.to.Item"
"0 to 2.612","Range of Values",125737,125737,NA
".","Missing",766,126503,NA
