"VTQ280F.Code.or.Value","VTQ280F.Value.Description","VTQ280F.Count","VTQ280F.Cumulative","VTQ280F.Skip.to.Item"
"1","Yes",475,475,NA
"2","No",2643,3118,NA
"7","Refused",0,3118,NA
"9","Don't know",0,3118,NA
".","Missing",297,3415,NA
