"VTQ270A.Code.or.Value","VTQ270A.Value.Description","VTQ270A.Count","VTQ270A.Cumulative","VTQ270A.Skip.to.Item"
"1","Yes",2845,2845,""
"2","No",393,3238,"VTQ280a"
"7","Refused",0,3238,"VTQ280a"
"9","Don't know",2,3240,"VTQ280a"
".","Missing",305,3545,""
