"DXXPT0Y.Code.or.Value","DXXPT0Y.Value.Description","DXXPT0Y.Count","DXXPT0Y.Cumulative","DXXPT0Y.Skip.to.Item"
"75 to 318.3","Range of Values",3291,3291,NA
".","Missing",417,3708,NA
