"URXUAS5.Code.or.Value","URXUAS5.Value.Description","URXUAS5.Count","URXUAS5.Cumulative","URXUAS5.Skip.to.Item"
"0.71 to 148","Range of Values",2576,2576,NA
".","Missing",144,2720,NA
