"WTSPO12.Code.or.Value","WTSPO12.Value.Description","WTSPO12.Count","WTSPO12.Cumulative","WTSPO12.Skip.to.Item"
"0.0000000 to 851007.6411200","Range of Values",0,0,NA
"0","0",2274,2274,NA
".","Missing",0,2274,NA
