"BIXC143K.Code.or.Value","BIXC143K.Value.Description","BIXC143K.Count","BIXC143K.Cumulative","BIXC143K.Skip.to.Item"
"29.84 to 125.7","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
