"DR1TATOA.Code.or.Value","DR1TATOA.Value.Description","DR1TATOA.Count","DR1TATOA.Cumulative","DR1TATOA.Skip.to.Item"
"0 to 40.6","Range of Values",9118,9118,NA
".","Missing",644,9762,NA
