"BIXS007K.Code.or.Value","BIXS007K.Value.Description","BIXS007K.Count","BIXS007K.Cumulative","BIXS007K.Skip.to.Item"
"289.68 to 1053.88","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
