"DS1IVD.Code.or.Value","DS1IVD.Value.Description","DS1IVD.Count","DS1IVD.Cumulative","DS1IVD.Skip.to.Item"
"0.375 to 1250","Range of Values",2233,2233,NA
".","Missing",3490,5723,NA
