"URDOP2LC.Code.or.Value","URDOP2LC.Value.Description","URDOP2LC.Count","URDOP2LC.Cumulative","URDOP2LC.Skip.to.Item"
"0","At or above the detection limit",772,772,NA
"1","Below lower detection limit",1863,2635,NA
".","Missing",121,2756,NA
