"DXXBICDE.Code.or.Value","DXXBICDE.Value.Description","DXXBICDE.Count","DXXBICDE.Cumulative","DXXBICDE.Skip.to.Item"
"-0.05 to 0.272","Range of Values",3293,3293,NA
".","Missing",415,3708,NA
