"URD1DCLC.Code.or.Value","URD1DCLC.Value.Description","URD1DCLC.Count","URD1DCLC.Cumulative","URD1DCLC.Skip.to.Item"
"0","At or above the detection limit",1,1,NA
"1","Below lower detection limit",2465,2466,NA
".","Missing",85,2551,NA
