"LEALBUN.Code.or.Value","LEALBUN.Value.Description","LEALBUN.Count","LEALBUN.Cumulative","LEALBUN.Skip.to.Item"
"1","Yes",734,734,NA
"2","No",2016,2750,NA
"8","Could not obtain",7,2757,NA
".","Missing",329,3086,NA
