"RXDRSC1.Code.or.Value","RXDRSC1.Value.Description","RXDRSC1.Count","RXDRSC1.Cumulative","RXDRSC1.Skip.to.Item"
"ICD-10-CM code 1","Value was recorded",13089,13089,NA
"55555","Unknown",130,13219,NA
"77777","Refused",19,13238,NA
"99999","Don't know",357,13595,NA
"< blank >","Missing",6052,19647,NA
