"URDMALLC.Code.or.Value","URDMALLC.Value.Description","URDMALLC.Count","URDMALLC.Cumulative","URDMALLC.Skip.to.Item"
"0","At or above the detection limit",531,531,NA
"1","Below lower detection limit",2050,2581,NA
".","Missing",113,2694,NA
