"CVDEXCL6.Code.or.Value","CVDEXCL6.Value.Description","CVDEXCL6.Count","CVDEXCL6.Cumulative","CVDEXCL6.Skip.to.Item"
"1","Yes",113,113,NA
"2","No",841,954,NA
".","Missing",4198,5152,NA
