"SAMPLEID.Code.or.Value","SAMPLEID.Value.Description","SAMPLEID.Count","SAMPLEID.Cumulative","SAMPLEID.Skip.to.Item"
"1 to 265","Range of Values",265,265,NA
".","Missing",0,265,NA
