"LBDD07LC.Code.or.Value","LBDD07LC.Value.Description","LBDD07LC.Count","LBDD07LC.Cumulative","LBDD07LC.Skip.to.Item"
"0","detectable result",1203,1203,NA
"1","below detectable limit",718,1921,NA
".","Missing",353,2274,NA
