"WTSCI31.Code.or.Value","WTSCI31.Value.Description","WTSCI31.Count","WTSCI31.Cumulative","WTSCI31.Skip.to.Item"
"0 to 456130.88779","Range of Values",727,727,NA
".","Missing",51,778,NA
