"WHD080H.Code.or.Value","WHD080H.Value.Description","WHD080H.Count","WHD080H.Cumulative","WHD080H.Skip.to.Item"
"17","Joined a weight loss program such as Weight Watchers, Jenny Craig, Tops, or Overeaters Anonymous",148,148,NA
".","Missing",6065,6213,NA
