"OHQ875.Code.or.Value","OHQ875.Value.Description","OHQ875.Count","OHQ875.Cumulative","OHQ875.Skip.to.Item"
"0 to 7","Range of Values",4826,4826,NA
"77","REFUSED",3,4829,NA
"99","DON'T KNOW",5,4834,NA
".","Missing",343,5177,NA
