"ECD010.Code.or.Value","ECD010.Value.Description","ECD010.Count","ECD010.Cumulative","ECD010.Skip.to.Item"
"15 to 44","Range of Values",3829,3829,NA
"14","14 years or younger",26,3855,NA
"45","45 years or older",4,3859,NA
"7777","Refused",2,3861,NA
"9999","Don't know",48,3909,NA
".","Missing",0,3909,NA
