"LBX099LA.Code.or.Value","LBX099LA.Value.Description","LBX099LA.Count","LBX099LA.Cumulative","LBX099LA.Skip.to.Item"
"1.7 to 132","Range of Values",1897,1897,NA
".","Missing",377,2274,NA
