"URXUCR.Code.or.Value","URXUCR.Value.Description","URXUCR.Count","URXUCR.Cumulative","URXUCR.Skip.to.Item"
"7 to 648","Range of Values",2530,2530,NA
".","Missing",82,2612,NA
