"PAQ724aa.Code.or.Value","PAQ724aa.Value.Description","PAQ724aa.Count","PAQ724aa.Cumulative","PAQ724aa.Skip.to.Item"
"27","WALKING",472,472,NA
".","Missing",9012,9484,NA
