"AUXRR277.Code.or.Value","AUXRR277.Value.Description","AUXRR277.Count","AUXRR277.Cumulative","AUXRR277.Skip.to.Item"
"-8 to 36","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
