"AUXRR259.Code.or.Value","AUXRR259.Value.Description","AUXRR259.Count","AUXRR259.Cumulative","AUXRR259.Skip.to.Item"
"-30 to 71","Range of Values",2752,2752,NA
".","Missing",282,3034,NA
