"CBQ698g.Code.or.Value","CBQ698g.Value.Description","CBQ698g.Count","CBQ698g.Cumulative","CBQ698g.Skip.to.Item"
"7","I don't think the food labels are important to me",26,26,NA
".","Missing",2019,2045,NA
