"TYXP248.Code.or.Value","TYXP248.Value.Description","TYXP248.Count","TYXP248.Cumulative","TYXP248.Skip.to.Item"
"-298 to 151","Range of Values",77,77,NA
".","Missing",5508,5585,NA
