"LBXSGB.Code.or.Value","LBXSGB.Value.Description","LBXSGB.Count","LBXSGB.Cumulative","LBXSGB.Skip.to.Item"
"1.6 to 6.2","Range of Values",6888,6888,NA
".","Missing",557,7445,NA
