"DXXPT41Y.Code.or.Value","DXXPT41Y.Value.Description","DXXPT41Y.Count","DXXPT41Y.Cumulative","DXXPT41Y.Skip.to.Item"
"147.2 to 374.4","Range of Values",3291,3291,NA
".","Missing",417,3708,NA
