"DS1ICHL.Code.or.Value","DS1ICHL.Value.Description","DS1ICHL.Count","DS1ICHL.Cumulative","DS1ICHL.Skip.to.Item"
"0.005 to 1000","Range of Values",340,340,NA
".","Missing",5728,6068,NA
