"PFQ055.Code.or.Value","PFQ055.Value.Description","PFQ055.Count","PFQ055.Cumulative","PFQ055.Skip.to.Item"
"1","Yes",290,290,NA
"2","No",364,654,NA
"7","Refused",0,654,NA
"9","Don't know",0,654,NA
".","Missing",9816,10470,NA
