"DR2TP184.Code.or.Value","DR2TP184.Value.Description","DR2TP184.Count","DR2TP184.Cumulative","DR2TP184.Skip.to.Item"
"0 to 0.912","Range of Values",7715,7715,NA
".","Missing",2047,9762,NA
