"DXXIMX.Code.or.Value","DXXIMX.Value.Description","DXXIMX.Count","DXXIMX.Cumulative","DXXIMX.Skip.to.Item"
"479.4 to 1070.9","Range of Values",3286,3286,NA
".","Missing",422,3708,NA
