"WHD080M.Code.or.Value","WHD080M.Value.Description","WHD080M.Count","WHD080M.Cumulative","WHD080M.Skip.to.Item"
"34","Drank a lot of water",1631,1631,NA
".","Missing",4530,6161,NA
