"DSQTCOPP.Code.or.Value","DSQTCOPP.Value.Description","DSQTCOPP.Count","DSQTCOPP.Cumulative","DSQTCOPP.Skip.to.Item"
"0.0042 to 30","Range of Values",1665,1665,NA
".","Missing",8510,10175,NA
