"DXXPT6Y.Code.or.Value","DXXPT6Y.Value.Description","DXXPT6Y.Count","DXXPT6Y.Cumulative","DXXPT6Y.Skip.to.Item"
"73.8 to 316.7","Range of Values",3291,3291,NA
".","Missing",417,3708,NA
