"MSAWDEV.Code.or.Value","MSAWDEV.Value.Description","MSAWDEV.Count","MSAWDEV.Cumulative","MSAWDEV.Skip.to.Item"
"1","None",1944,1944,NA
"2","Cane",73,2017,NA
"3","Walker",18,2035,NA
"4","Other",11,2046,NA
".","Missing",247,2293,NA
